"#","Qty","Reference","Value","Manufacturer","Manufacturer Part No","JLCPCB Part #","Package","Footprint"
"1","8","C201,C202,C203,C204,C407,C502,C504,C506","0.1uF 10% 50V","YAGEO","CC0603KRX7R9BB104","C14663","0603","JLCPCB Basic:CAPC1608X90N"
"2","3","C302,C303,C304","4.7uF 10% 25V","Samsung Electro-Mechanics","CL21A475KAQNNNE","C1779","0805","JLCPCB Basic:CAPC2012X140N"
"3","1","C307","4.7uF 10% 50V","FH (Guangdong Fenghua Advanced Tech)","1206B475K500NT","C29823","1206","JLCPCB Basic:CAPC3216X180N"
"4","1","C308","22nF 10% 50V","Samsung Electro-Mechanics","CL21B223KBANNNC","C1729","0805","JLCPCB Basic:CAPC2012X75N"
"5","1","C309","10uF 20% 35V","PANASONIC","EEEFK1V100R","C336198","SMD","PANASONIC Capacitors:EEE0GA101SR"
"6","3","C501,C503,C505","1uF 10% 50V","Samsung Electro-Mechanics","CL21B105KBFNNNE","C28323","0805","JLCPCB Basic:CAPC2012X135N"
"7","1","D301","40V 1A","Guangdong Hottech","1N5819WS","C191023","SOD-323","GUANGDONG HOTTECH Diodes:D_SOD-323F"
"8","9","D401,D402,D403,D404,D405,D406,D407,D408,D409","28V 1uA Leak","Littelfuse","SMF28A","C720061","SOD-123FL","LITTELFUSE Diodes:SODFL3619X98N"
"9","3","F502,F503,F505","50mA 30V, PTC","BOURNS","MF-USMF005-2","C118758","1210","BOURNS Fuses:FUSC3226X110N"
"10","1","IC401","16 Bit ADC","Texas Instruments","ADS1115IDGST","C468683","VSSOP-10-0.5mm","TEXAS INSTRUMENTS ICs:SOP50P490X110-10N"
"11","2","J301,J302","A2541WV-10P","CJT(Changjiang Connectors)","A2541WV-10P","C225485","Plugin,P=2.54mm","CJT Connectors:PinHeader_1x10_P2.54mm_Vertical_Male"
"12","1","J303","A2541WV-2x3P"," CJT(Changjiang Connectors)","A2541WV-2x3P","C225518","Plugin,P=2.54mm","CJT Connectors:PinHeader_2x03_P2.54mm_Vertical"
"13","1","J304","1715747","Phoenix Contact","1715747","C5443561","P=5.08mm","PHOENIX CONTACT Terminals:1715747"
"14","1","L301","15uH, 1.25A, 20%","Vishay Intertech","IFSC1515AHER150M01","C844950","SMD,4x4mm","VISHAY INTERTECH Inductors:INDM4040X190N"
"15","1","PS301","TPS61170DRVR","Texas Instruments","TPS61170DRVR","C15163","WSON-6(2x2)","TEXAS INSTRUMENTS ICs:SON65P200X200X80-7N"
"16","2","R201,R304","10kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F1002T5E","C17414","0805","JLCPCB Basic:RESC2013X65N"
"17","1","R301","24kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F2402T5E","C17575","0805","JLCPCB Basic:RESC2013X65N"
"18","1","R303","200kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F2003T5E","C17539","0805","JLCPCB Basic:RESC2013X65N"
"19","2","R401,R417","4.7kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F4701T5E"," C17673","0805","JLCPCB Basic:RESC2013X65N"
"20","3","R501,R506,R511","150Ω 0.1% 1/2W","Vishay","TNPW1206150RBEEA","C2075942","1206","VISHAY INTERTECH Resistors:RESC3216X71N"
"21","12","R502,R503,R504,R505,R507,R508,R509,R510,R512,R513,R514,R515","100kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F1003T5E","C149504","0805","JLCPCB Basic:RESC2013X65N"
"22","1","U202","ATmega328PB-A","Microchip Tech","ATMEGA328PB-AU","C132230","TQFP-32(7x7)","Package_QFP:TQFP-32_7x7mm_P0.8mm"
"23","3","U501,U502,U503","Precision ZD RR","3PEAK","TP5551-TR","C2759987","SOT-23-5","3PEAK OpAmps:S5TSOT23-5-A_TPK"
