"Comment","Designator","Footprint","JLCPCB Part #"
"0.1uF 10% 50V","C201,C202,C203,C204,C407,C502,C504,C506","0603","C14663"
"4.7uF 10% 25V","C302,C303,C304","0805","C1779"
"4.7uF 10% 50V","C307","1206","C29823"
"22nF 10% 50V","C308","0805","C1729"
"10uF 20% 35V","C309","SMD","C336198"
"1uF 10% 50V","C501,C503,C505","0805","C28323"
"40V 1A","D301","SOD-323","C191023"
"28V 1uA Leak","D401,D402,D403,D404,D405,D406,D407,D408,D409","SOD-123FL","C720061"
"50mA 30V, PTC","F502,F503,F505","1210","C118758"
"16 Bit ADC","IC401","VSSOP-10-0.5mm","C468683"
"A2541WV-10P","J301,J302","Plugin,P=2.54mm","C225485"
"A2541WV-2x3P","J303","Plugin,P=2.54mm","C225518"
"1715747","J304","P=5.08mm","C5443561"
"15uH, 1.25A, 20%","L301","SMD,4x4mm","C844950"
"TPS61170DRVR","PS301","WSON-6(2x2)","C15163"
"10k? 1/8W 1%","R201,R304","0805","C17414"
"24k? 1/8W 1%","R301","0805","C17575"
"200k? 1/8W 1%","R303","0805","C17539"
"4.7k? 1/8W 1%","R401,R417","0805"," C17673"
"150? 0.1% 1/2W","R501,R506,R511","1206","C2075942"
"100k? 1/8W 1%","R502,R503,R504,R505,R507,R508,R509,R510,R512,R513,R514,R515","0805","C149504"
"ATmega328PB-A","U202","TQFP-32(7x7)","C132230"
"Precision ZD RR","U501,U502,U503","SOT-23-5","C2759987"
