"Designator","Mid X","Mid Y","Layer","Rotation"
"C201","143.500000","-73.150000","top","0.000000"
"C202","150.900000","-81.987500","top","-90.000000"
"C203","156.900000","-76.050000","top","0.000000"
"C204","143.500000","-75.350000","top","180.000000"
"C302","131.600000","-70.900000","top","0.000000"
"C303","131.600000","-72.800000","top","0.000000"
"C304","131.600000","-74.700000","top","0.000000"
"C307","132.600000","-82.000000","top","0.000000"
"C308","123.950000","-79.200000","top","90.000000"
"C309","133.000000","-86.600000","top","180.000000"
"C407","154.100000","-88.100000","top","180.000000"
"C501","128.553200","-99.475000","top","180.000000"
"C502","131.800000","-96.150000","top","-90.000000"
"C503","140.632100","-99.500000","top","180.000000"
"C504","143.800000","-96.160000","top","-90.000000"
"C505","152.273200","-99.500000","top","180.000000"
"C506","155.400000","-96.160000","top","-90.000000"
"D301","136.400000","-81.200000","top","90.000000"
"D401","124.000000","-106.200000","top","-90.000000"
"D402","128.500000","-105.600000","top","0.000000"
"D403","132.516579","-106.184971","top","-90.000000"
"D404","136.300000","-106.200000","top","-90.000000"
"D405","140.662500","-105.600000","top","0.000000"
"D406","144.500000","-106.200000","top","-90.000000"
"D407","148.200000","-106.200000","top","-90.000000"
"D408","152.262500","-105.600000","top","0.000000"
"D409","156.200000","-106.200000","top","-90.000000"
"F502","127.400000","-109.835000","top","90.000000"
"F503","139.700000","-109.800000","top","90.000000"
"F505","151.300000","-109.800000","top","90.000000"
"IC401","149.300000","-88.100000","top","0.000000"
"J303","140.825000","-80.950000","top","0.000000"
"J304","132.078600","-118.575000","top","0.000000"
"L301","136.400000","-76.400000","top","-90.000000"
"PS301","130.750000","-77.550000","top","0.000000"
"R201","153.400000","-81.687500","top","0.000000"
"R301","126.900000","-78.100000","top","0.000000"
"R303","125.800000","-75.400000","top","180.000000"
"R304","127.100000","-72.500000","top","-90.000000"
"R401","147.100000","-83.650000","top","90.000000"
"R417","151.700000","-84.800000","top","0.000000"
"R501","128.473200","-102.200000","top","180.000000"
"R502","132.300000","-100.700000","top","90.000000"
"R503","124.800000","-100.700000","top","90.000000"
"R504","124.500000","-96.725000","top","90.000000"
"R505","128.300000","-93.100000","top","0.000000"
"R506","140.700000","-102.200000","top","180.000000"
"R507","136.900000","-100.700000","top","90.000000"
"R508","144.400000","-100.700000","top","90.000000"
"R509","136.600000","-96.725000","top","90.000000"
"R510","140.700000","-93.100000","top","0.000000"
"R511","152.300000","-102.200000","top","180.000000"
"R512","148.600000","-100.700000","top","90.000000"
"R513","156.000000","-100.700000","top","90.000000"
"R514","148.300000","-96.725000","top","90.000000"
"R515","151.800000","-93.100000","top","0.000000"
"U202","150.000000","-75.400000","top","180.000000"
"U501","128.653200","-96.300000","top","0.000000"
"U502","140.573200","-96.300000","top","0.000000"
"U503","152.173200","-96.300000","top","0.000000"
"J301","120.000000","-110.060000","bottom","0.000000"
"J302","160.000000","-110.060000","bottom","0.000000"
