"Value","Reference","JLCPCB Part #","Package"
"4.7uF 10% 50V","C307","C29823","1206"
"22nF 10% 50V","C308","C1729","0805"
"10uF 20% 35V","C309","C336198","SMD"
"0.1uF 10% 50V","C201,C202,C203,C204,C407,C502,C504,C506","C14663","0603"
"4.7uF 10% 25V","C302,C303,C304","C1779","0805"
"1uF 10% 50V","C501,C503,C505","C28323","0805"
"40V 1A","D301","C191023","SOD-323"
"28V 1uA Leak","D401,D402,D403,D404,D405,D406,D407,D408,D409","C720061","SOD-123FL"
"50mA 30V, PTC","F502,F503,F505","C118758","1210"
"16 Bit ADC","IC401","C468683","VSSOP-10-0.5mm"
"A2541WV-2x3P","J303","C225518","Plugin,P=2.54mm"
"1715747","J304","C5443561","P=5.08mm"
"A2541WV-10P","J301,J302","C225485","Plugin,P=2.54mm"
"15uH, 1.25A, 20%","L301","C844950","SMD,4x4mm"
"TPS61170DRVR","PS301","C15163","WSON-6(2x2)"
"24kΩ 1/8W 1%","R301","C17575","0805"
"200kΩ 1/8W 1%","R303","C17539","0805"
"10kΩ 1/8W 1%","R201,R304","C17414","0805"
"4.7kΩ 1/8W 1%","R401,R417"," C17673","0805"
"150Ω 0.1% 1/2W","R501,R506,R511","C2075942","1206"
"100kΩ 1/8W 1%","R502,R503,R504,R505,R507,R508,R509,R510,R512,R513,R514,R515","C149504","0805"
"ATmega328PB-A","U201","",""
"Precision ZD RR","U501,U502,U503","C2759987","SOT-23-5"
