Ref,Val,Package,PosX,PosY,Rot,Side
"C201","0.1uF 10% 50V","CAPC1608X90N",143.500000,-73.150000,0.000000,top
"C202","0.1uF 10% 50V","CAPC1608X90N",150.900000,-81.987500,-90.000000,top
"C203","0.1uF 10% 50V","CAPC1608X90N",156.900000,-76.050000,0.000000,top
"C204","0.1uF 10% 50V","CAPC1608X90N",143.500000,-75.350000,180.000000,top
"C302","4.7uF 10% 25V","CAPC2012X140N",131.600000,-70.900000,0.000000,top
"C303","4.7uF 10% 25V","CAPC2012X140N",131.600000,-72.800000,0.000000,top
"C304","4.7uF 10% 25V","CAPC2012X140N",131.600000,-74.700000,0.000000,top
"C307","4.7uF 10% 50V","CAPC3216X180N",132.600000,-82.000000,0.000000,top
"C308","22nF 10% 50V","CAPC2012X75N",123.950000,-79.200000,90.000000,top
"C309","10uF 20% 35V","EEE0GA101SR",133.000000,-86.600000,180.000000,top
"C407","0.1uF 10% 50V","CAPC1608X90N",154.100000,-88.100000,180.000000,top
"C501","1uF 10% 50V","CAPC2012X135N",128.553200,-99.475000,180.000000,top
"C502","0.1uF 10% 50V","CAPC1608X90N",131.800000,-96.150000,-90.000000,top
"C503","1uF 10% 50V","CAPC2012X135N",140.632100,-99.500000,180.000000,top
"C504","0.1uF 10% 50V","CAPC1608X90N",143.800000,-96.160000,-90.000000,top
"C505","1uF 10% 50V","CAPC2012X135N",152.273200,-99.500000,180.000000,top
"C506","0.1uF 10% 50V","CAPC1608X90N",155.400000,-96.160000,-90.000000,top
"D301","40V 1A","D_SOD-323F",136.400000,-81.200000,90.000000,top
"D401","28V 1uA Leak","SODFL3619X98N",124.000000,-106.200000,-90.000000,top
"D402","28V 1uA Leak","SODFL3619X98N",128.500000,-105.600000,0.000000,top
"D403","28V 1uA Leak","SODFL3619X98N",132.516579,-106.184971,-90.000000,top
"D404","28V 1uA Leak","SODFL3619X98N",136.300000,-106.200000,-90.000000,top
"D405","28V 1uA Leak","SODFL3619X98N",140.662500,-105.600000,0.000000,top
"D406","28V 1uA Leak","SODFL3619X98N",144.500000,-106.200000,-90.000000,top
"D407","28V 1uA Leak","SODFL3619X98N",148.200000,-106.200000,-90.000000,top
"D408","28V 1uA Leak","SODFL3619X98N",152.262500,-105.600000,0.000000,top
"D409","28V 1uA Leak","SODFL3619X98N",156.200000,-106.200000,-90.000000,top
"F502","50mA 30V, PTC","FUSC3226X110N",127.400000,-109.835000,90.000000,top
"F503","50mA 30V, PTC","FUSC3226X110N",139.700000,-109.800000,90.000000,top
"F505","50mA 30V, PTC","FUSC3226X110N",151.300000,-109.800000,90.000000,top
"IC401","16 Bit ADC","SOP50P490X110-10N",149.300000,-88.100000,0.000000,top
"J303","A2541WV-2x3P","PinHeader_2x03_P2.54mm_Vertical",140.825000,-80.950000,0.000000,top
"J304","1715747","1715747",132.078600,-118.575000,0.000000,top
"L301","15uH, 1.25A, 20%","INDM4040X190N",136.400000,-76.400000,-90.000000,top
"PS301","TPS61170DRVR","SON65P200X200X80-7N",130.750000,-77.550000,0.000000,top
"R201","10kΩ 1/8W 1%","RESC2013X65N",153.400000,-81.687500,0.000000,top
"R301","24kΩ 1/8W 1%","RESC2013X65N",126.900000,-78.100000,0.000000,top
"R303","200kΩ 1/8W 1%","RESC2013X65N",125.800000,-75.400000,180.000000,top
"R304","10kΩ 1/8W 1%","RESC2013X65N",127.100000,-72.500000,-90.000000,top
"R401","4.7kΩ 1/8W 1%","RESC2013X65N",147.100000,-83.650000,90.000000,top
"R417","4.7kΩ 1/8W 1%","RESC2013X65N",151.700000,-84.800000,0.000000,top
"R501","150Ω 0.1% 1/2W","RESC3216X71N",128.473200,-102.200000,180.000000,top
"R502","100kΩ 1/8W 1%","RESC2013X65N",132.300000,-100.700000,90.000000,top
"R503","100kΩ 1/8W 1%","RESC2013X65N",124.800000,-100.700000,90.000000,top
"R504","100kΩ 1/8W 1%","RESC2013X65N",124.500000,-96.725000,90.000000,top
"R505","100kΩ 1/8W 1%","RESC2013X65N",128.300000,-93.100000,0.000000,top
"R506","150Ω 0.1% 1/2W","RESC3216X71N",140.700000,-102.200000,180.000000,top
"R507","100kΩ 1/8W 1%","RESC2013X65N",136.900000,-100.700000,90.000000,top
"R508","100kΩ 1/8W 1%","RESC2013X65N",144.400000,-100.700000,90.000000,top
"R509","100kΩ 1/8W 1%","RESC2013X65N",136.600000,-96.725000,90.000000,top
"R510","100kΩ 1/8W 1%","RESC2013X65N",140.700000,-93.100000,0.000000,top
"R511","150Ω 0.1% 1/2W","RESC3216X71N",152.300000,-102.200000,180.000000,top
"R512","100kΩ 1/8W 1%","RESC2013X65N",148.600000,-100.700000,90.000000,top
"R513","100kΩ 1/8W 1%","RESC2013X65N",156.000000,-100.700000,90.000000,top
"R514","100kΩ 1/8W 1%","RESC2013X65N",148.300000,-96.725000,90.000000,top
"R515","100kΩ 1/8W 1%","RESC2013X65N",151.800000,-93.100000,0.000000,top
"U202","ATmega328PB-A","TQFP-32_7x7mm_P0.8mm",150.000000,-75.400000,180.000000,top
"U501","Precision ZD RR","S5TSOT23-5-A_TPK",128.653200,-96.300000,0.000000,top
"U502","Precision ZD RR","S5TSOT23-5-A_TPK",140.573200,-96.300000,0.000000,top
"U503","Precision ZD RR","S5TSOT23-5-A_TPK",152.173200,-96.300000,0.000000,top
